,car_ID,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg
192,193,0,1,1,0,3,0,0,100.4,180.2,66.9,55.1,2579,3,0,97,0,3.01,3.4,23.0,68,4500,33,38
23,24,1,0,1,1,2,0,0,93.7,157.3,63.8,50.8,2128,3,0,98,0,3.03,3.39,7.6,102,5500,24,30
144,145,0,0,0,0,3,1,0,97.0,172.0,65.4,54.3,2385,4,0,108,0,3.62,2.64,9.0,82,4800,24,25
35,36,0,0,0,0,3,0,0,96.5,163.4,64.0,54.5,2010,3,0,92,1,2.91,3.41,9.2,76,6000,30,34
136,137,3,0,1,1,2,0,0,99.1,186.6,66.5,56.1,2808,0,0,121,0,3.54,3.07,9.0,160,5500,19,26
143,144,0,0,0,0,3,0,0,97.2,172.0,65.4,52.5,2340,4,0,108,0,3.62,2.64,9.0,94,5200,26,32
0,1,3,0,0,1,0,0,0,88.6,168.8,64.1,48.8,2548,0,0,130,0,3.47,2.68,9.0,111,5000,21,27
116,117,0,1,1,0,3,0,0,107.9,186.7,68.4,56.7,3252,2,0,152,0,3.7,3.52,21.0,95,4150,28,33
17,18,0,0,0,0,3,0,0,110.0,197.0,70.9,56.3,3505,3,0,209,0,3.62,3.39,8.0,182,5400,15,20
67,68,-1,1,1,0,3,0,0,110.0,190.9,70.3,56.5,3515,3,0,183,0,3.58,3.64,21.5,123,4350,22,25
165,166,1,0,0,1,3,0,0,94.5,168.7,64.0,52.6,2265,0,0,98,0,3.24,3.08,9.4,112,6600,26,29
66,67,0,1,0,0,3,0,0,104.9,175.0,66.1,54.4,2700,3,0,134,0,3.43,3.64,22.0,72,4200,31,39
89,90,1,0,0,1,3,0,0,94.5,165.3,63.8,54.5,1889,3,0,97,0,3.15,3.29,9.4,69,5200,31,37
42,43,1,0,0,1,3,0,0,96.5,169.1,66.0,51.0,2293,3,0,110,0,3.15,3.58,9.1,100,5500,25,31
142,143,0,0,0,0,3,0,0,97.2,172.0,65.4,52.5,2190,4,0,108,0,3.62,2.64,9.5,82,4400,28,33
134,135,3,0,0,1,2,0,0,99.1,186.6,66.5,56.1,2707,3,0,121,0,2.54,2.07,9.3,110,5250,21,28
145,146,0,0,1,0,3,1,0,97.0,172.0,65.4,54.3,2510,4,0,108,0,3.62,2.64,7.7,111,4800,24,29
63,64,0,1,0,0,3,0,0,98.8,177.8,66.5,55.5,2443,3,0,122,0,3.39,3.39,22.7,64,4650,36,42
99,100,0,0,0,0,2,0,0,97.2,173.4,65.2,54.7,2324,3,0,120,0,3.33,3.47,8.5,97,5200,27,34
21,22,1,0,0,1,2,0,0,93.7,157.3,63.8,50.8,1876,3,0,90,0,2.97,3.23,9.41,68,5500,37,41
38,39,0,0,0,1,2,0,0,96.5,167.5,65.2,53.3,2289,3,0,110,1,3.15,3.58,9.0,86,5800,27,33
114,115,0,1,1,0,4,0,0,114.2,198.9,68.4,58.7,3485,2,0,152,0,3.7,3.52,21.0,95,4150,25,25
59,60,1,0,0,1,2,0,0,98.8,177.8,66.5,53.7,2385,3,0,122,0,3.39,3.39,8.6,84,4800,26,32
77,78,2,0,0,1,2,0,0,93.7,157.3,64.4,50.8,1944,3,0,92,0,2.97,3.23,9.4,68,5500,31,38
68,69,-1,1,1,0,4,0,0,110.0,190.9,70.3,58.7,3750,3,0,183,0,3.58,3.64,21.5,123,4350,22,25
84,85,3,0,1,1,2,0,0,95.9,173.2,66.3,50.2,2926,3,0,156,0,3.59,3.86,7.0,145,5000,19,24
